"source_id","name","latitude","longitude_west_360","longitude","jiram_detections_by_orbit","max_spectral_radiance_gw_um","max_unsaturated_spectral_radiance_gw_um","avg_unsaturated_spectral_radiance_gw_um","min_unsaturated_spectral_radiance_gw_um","earlier_detections","notes","source"
"JRM001","Nusku Patera","-63.3","3.9","-3.9","5, 9, 10, 25o, 27o, 32o, 35, 37o","0.736074893","0.736074893","0.474187629","0.363464739","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM002","JRM002","14.7","4.4","-4.4","5, 9, 11, 17, 20, 26, 41","0.782914073","0.782914073","0.228340737","0.046816974","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM003","Mbali Patera","-33.6","5.5","-5.5","5, 9 , 20, 32o","0.986851515","0.986851515","0.204113874","0.056932884","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM004","PV179","-11.9","6.9","-6.9","5, 17, 18, 20, 26, 27i, 27o, 32o, 41","11.34754422","5.741739244","1.143022563","0.299197911","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM005","JRM005","12.8","11.7","-11.7","17","0.053210624","0.053210624","0.053210624","0.053210624","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM006","Gauwa Patera","35.6","11.9","-11.9","5, 9, 11, 17, 18, 20, 24, 25i, 26, 27i, 41, 43","1.86425895","1.86425895","0.622847761","0.261631815","LEISA","Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM007","PV187","-3.1","12.4","-12.4","20","0.078593442","0.078593442","0.078593442","0.078593442","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM008","Ukko Patera","30.5","18.1","-18.1","17, 20, 27i","0.09023025","0.09023025","0.066315351","0.038988628","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM009","PV189","18.9","20.7","-20.7","17, 20, 27i, 41","0.12716354","0.12716354","0.083868443","0.012961927","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM010","Uta Patera","-35.8","22.4","-22.4","5, 9, 10, 11, 18, 25o, 26, 27i, 27o, 32o, 35, 37o","19.52846998","18.70007497","17.76722968","3.940507481","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM011","JRM011","23.8","23.2","-23.2","17","0.186747485","0.186747485","0.186747485","0.186747485","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM012","JRM012","4.6","23.4","-23.4","5, 17, 20, 27i, 41","0.260702747","0.260702747","0.111071139","0.031187564","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM013","JRM013","-18.1","24","-24","18, 20, 25o, 26, 27i, 32o, 35, 37o, 41","11.46228792","9.614859843","5.504983329","0.769910635","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM014","JRM014","41.4","24.6","-24.6","17, 20, 25i, 27i","0.166503678","0.166503678","0.06599667","0.022559377","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM015","JRM015","51.3","26.5","-26.5","17, 27i, 41","0.040147255","0.040147255","0.036059385","0.012079939","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM016","JRM016","20.9","28.6","-28.6","17, 20, 26, 27i, 41","1.979926707","1.979926707","0.395118944","0.06380916","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM264","JRM264","69","29.3","-29.3","43","0.056297509","0.056297509","0.056297509","0.056297509","","Close to JRM017","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM018","Hatchawa Patera","-59.5","31.4","-31.4","5, 35","0.172586803","0.172586803","0.132628068","0.092669333","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM017","JRM017","67.7","31.5","-31.5","11, 16, 17, 18, 24, 25i, 26, 27i, 41, 43","3.380378276","3.380378276","0.3271135","0.197612482","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM019","Kanehekili","-18.1","33.1","-33.1","5, 9, 10, 11, 17, 18, 20, 26, 27i, 32o","3.788374908","2.153457204","1.080338373","0.289454012","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM020","JRM020","8.3","34.2","-34.2","20","0.312796875","0.312796875","0.312796875","0.312796875","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM021","P245","31.9","34.7","-34.7","11, 17, 18, 20, 24, 25i, 26, 27i, 41, 43","4.123269307","4.123269307","1.24573276","0.046758672","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM022","PFd1731","-27.7","38.2","-38.2","11, 17, 18, 20, 26, 27i, 32o, 35","5.431135377","3.79231949","0.799087917","0.155520115","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM023","Janus Patera","-4.6","38.9","-38.9","5, 9, 10, 11, 17, 18, 20, 25o, 26, 27i, 32o, 35, 37o, 41","29.12480813","29.12480813","6.587935811","2.064829124","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM024","PFu1410","57","39.8","-39.8","11, 17, 18, 25i, 26, 27i, 41, 43","0.393605608","0.393605608","0.27921811","0.170577013","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM025","JRM025","16.6","42.1","-42.1","5, 17, 20, 27i, 41","2.868276546","2.868276546","0.447050727","0.119564004","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM026","JRM026","6.5","43.3","-43.3","20","0.391398285","0.391398285","0.391398285","0.391398285","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM027","JRM027","41.3","43.5","-43.5","11, 17","2.146503138","2.146503138","2.035682659","1.92486218","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM028","JRM028","-30.5","44.5","-44.5","5","0.375927329","0.375927329","0.375927329","0.375927329","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM029","PFu1239","38.7","45.2","-45.2","16, 17, 18, 20, 25i, 26, 27i, 41","0.239966067","0.239966067","0.134727029","0.062419142","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM030","N Lei-Zi Fluctus","22.3","47.3","-47.3","11, 16, 17, 18, 20, 26, 27i, 41, 43","6.832010777","0.48962293","0.25671697","0.064986191","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM031","Gurzil Patera","50.3","48","-48","17, 18, 20, 24, 25i, 26, 27i, 41, 43","6.780607541","6.386395322","2.511486372","0.412461813","","Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM032","JRM032","-50","48.1","-48.1","37o","8.927392517","8.927392517","8.927392517","8.927392517","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM033","JRM033","17.2","48.4","-48.4","17, 20, 26, 27i, 41","0.343382556","0.343382556","0.126221469","0.034426476","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM034","PFu374","-24","49.7","-49.7","5, 17, 20, 26, 27i, 32o, 35","2.381876983","2.381876983","0.404692661","0.18041525","Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM035","JRM035","42.4","51.4","-51.4","17, 26, 27i, 41","0.257657222","0.257657222","0.104303717","0.08630776","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM036","JRM036","-1.4","52","-52","27i","3.952275262","3.952275262","3.952275262","3.952275262","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM037","JRM037","-8.4","52.2","-52.2","17, 18, 20, 26, 27i, 32o, 35, 41","0.69650179","0.69650179","0.27910431","0.104842716","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM038","JRM038","70.6","52.7","-52.7","41, 43","0.613192696","0.613192696","0.41172642","0.210260144","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM039","Masubi","-44.8","55.1","-55.1","5, 9, 10, 11, 20, 25o, 27i, 27o, 32o, 35, 37o","146.8995314","11.53406996","7.926259198","4.137565117","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM040","JRM040","26.1","57.7","-57.7","11, 17, 18, 20, 26, 27i, 41, 43","0.208840729","0.208840729","0.141747366","0.06299988","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM041","JRM041","52.2","59.8","-59.8","41, 43","0.0377249","0.0377249","0.029708401","0.021691901","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM042","Kotar Patera","10.6","61","-61","5, 9, 11, 16, 17, 18, 20, 26, 27i, 41, 43","5.531267683","5.531267683","2.474255105","1.786142776","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM043","Shamshu Patera","-10.3","62.8","-62.8","5, 9, 11, 17, 18, 20, 26, 27i, 32o, 35","4.951815095","4.951815095","2.323696935","0.361515356","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM044","P232?","18.8","63.1","-63.1","16, 17, 18, 20, 26, 27i, 41","0.229203235","0.229203235","0.146845956","0.041345762","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM045","P213","-26.5","63.8","-63.8","5, 17, 27i","0.20974499","0.20974499","0.14578341","0.122935135","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
